15:24:47  INFO      Run directory : logs/20260323_152447_news.ycombinator.com
15:24:47  INFO      Target URL    : https://news.ycombinator.com
15:24:49  INFO      Launching browser and navigating ...
15:24:50  DEBUG     Page title: Hacker News
15:24:50  INFO      Extracting interactive elements ...
15:24:50  INFO      Found 195 element(s)
15:24:50  DEBUG       [el_0] <a> selector='[data-ai-id="el_0"]'  text=''
15:24:50  DEBUG       [el_1] <a> selector='[data-ai-id="el_1"]'  text='Hacker News'
15:24:50  DEBUG       [el_2] <a> selector='[data-ai-id="el_2"]'  text='new'
15:24:50  DEBUG       [el_3] <a> selector='[data-ai-id="el_3"]'  text='past'
15:24:50  DEBUG       [el_4] <a> selector='[data-ai-id="el_4"]'  text='comments'
15:24:50  DEBUG       [el_5] <a> selector='[data-ai-id="el_5"]'  text='ask'
15:24:50  DEBUG       [el_6] <a> selector='[data-ai-id="el_6"]'  text='show'
15:24:50  DEBUG       [el_7] <a> selector='[data-ai-id="el_7"]'  text='jobs'
15:24:50  DEBUG       [el_8] <a> selector='[data-ai-id="el_8"]'  text='submit'
15:24:50  DEBUG       [el_9] <a> selector='[data-ai-id="el_9"]'  text='login'
15:24:50  DEBUG       [el_10] <a> selector='[data-ai-id="el_10"]'  text=''
15:24:50  DEBUG       [el_11] <a> selector='[data-ai-id="el_11"]'  text='ykumar.me'
15:24:50  DEBUG       [el_12] <a> selector='[data-ai-id="el_12"]'  text='ykumards'
15:24:50  DEBUG       [el_13] <a> selector='[data-ai-id="el_13"]'  text='3 hours ago'
15:24:50  DEBUG       [el_14] <a> selector='[data-ai-id="el_14"]'  text='hide'
15:24:50  DEBUG       [el_15] <a> selector='[data-ai-id="el_15"]'  text='62\xa0comments'
15:24:50  DEBUG       [el_16] <a> selector='[data-ai-id="el_16"]'  text=''
15:24:50  DEBUG       [el_17] <a> selector='[data-ai-id="el_17"]'  text='twitter.com/anemll'
15:24:50  DEBUG       [el_18] <a> selector='[data-ai-id="el_18"]'  text='anemll'
15:24:50  DEBUG       [el_19] <a> selector='[data-ai-id="el_19"]'  text='7 hours ago'
15:24:50  DEBUG       [el_20] <a> selector='[data-ai-id="el_20"]'  text='hide'
15:24:50  DEBUG       [el_21] <a> selector='[data-ai-id="el_21"]'  text='221\xa0comments'
15:24:50  DEBUG       [el_22] <a> selector='[data-ai-id="el_22"]'  text=''
15:24:50  DEBUG       [el_23] <a> selector='[data-ai-id="el_23"]'  text='github.com/localstack'
15:24:50  DEBUG       [el_24] <a> selector='[data-ai-id="el_24"]'  text='ecshafer'
15:24:50  DEBUG       [el_25] <a> selector='[data-ai-id="el_25"]'  text='3 hours ago'
15:24:50  DEBUG       [el_26] <a> selector='[data-ai-id="el_26"]'  text='hide'
15:24:50  DEBUG       [el_27] <a> selector='[data-ai-id="el_27"]'  text='54\xa0comments'
15:24:50  DEBUG       [el_28] <a> selector='[data-ai-id="el_28"]'  text=''
15:24:50  DEBUG       [el_29] <a> selector='[data-ai-id="el_29"]'  text='luu'
15:24:50  DEBUG       [el_30] <a> selector='[data-ai-id="el_30"]'  text='2 hours ago'
15:24:50  DEBUG       [el_31] <a> selector='[data-ai-id="el_31"]'  text='hide'
15:24:50  DEBUG       [el_32] <a> selector='[data-ai-id="el_32"]'  text='16\xa0comments'
15:24:50  DEBUG       [el_33] <a> selector='[data-ai-id="el_33"]'  text=''
15:24:50  DEBUG       [el_34] <a> selector='[data-ai-id="el_34"]'  text='iev.ee'
15:24:50  DEBUG       [el_35] <a> selector='[data-ai-id="el_35"]'  text='lalitmaganti'
15:24:50  DEBUG       [el_36] <a> selector='[data-ai-id="el_36"]'  text='5 hours ago'
15:24:50  DEBUG       [el_37] <a> selector='[data-ai-id="el_37"]'  text='hide'
15:24:50  DEBUG       [el_38] <a> selector='[data-ai-id="el_38"]'  text='30\xa0comments'
15:24:50  DEBUG       [el_39] <a> selector='[data-ai-id="el_39"]'  text=''
15:24:50  DEBUG       [el_40] <a> selector='[data-ai-id="el_40"]'  text='socket.dev'
15:24:50  DEBUG       [el_41] <a> selector='[data-ai-id="el_41"]'  text='jicea'
15:24:50  DEBUG       [el_42] <a> selector='[data-ai-id="el_42"]'  text='6 hours ago'
15:24:50  DEBUG       [el_43] <a> selector='[data-ai-id="el_43"]'  text='hide'
15:24:50  DEBUG       [el_44] <a> selector='[data-ai-id="el_44"]'  text='47\xa0comments'
15:24:50  DEBUG       [el_45] <a> selector='[data-ai-id="el_45"]'  text=''
15:24:50  DEBUG       [el_46] <a> selector='[data-ai-id="el_46"]'  text='theguardian.com'
15:24:50  DEBUG       [el_47] <a> selector='[data-ai-id="el_47"]'  text='trocado'
15:24:50  DEBUG       [el_48] <a> selector='[data-ai-id="el_48"]'  text='1 hour ago'
15:24:50  DEBUG       [el_49] <a> selector='[data-ai-id="el_49"]'  text='hide'
15:24:50  DEBUG       [el_50] <a> selector='[data-ai-id="el_50"]'  text='84\xa0comments'
15:24:50  DEBUG       [el_51] <a> selector='[data-ai-id="el_51"]'  text=''
15:24:50  DEBUG       [el_52] <a> selector='[data-ai-id="el_52"]'  text='storyfox.cz'
15:24:50  DEBUG       [el_53] <a> selector='[data-ai-id="el_53"]'  text='phasE89'
15:24:50  DEBUG       [el_54] <a> selector='[data-ai-id="el_54"]'  text='38 minutes ago'
15:24:50  DEBUG       [el_55] <a> selector='[data-ai-id="el_55"]'  text='hide'
15:24:50  DEBUG       [el_56] <a> selector='[data-ai-id="el_56"]'  text='3\xa0comments'
15:24:50  DEBUG       [el_57] <a> selector='[data-ai-id="el_57"]'  text=''
15:24:50  DEBUG       [el_58] <a> selector='[data-ai-id="el_58"]'  text='neilkakkar.com'
15:24:50  DEBUG       [el_59] <a> selector='[data-ai-id="el_59"]'  text='neilkakkar'
15:24:50  DEBUG       [el_60] <a> selector='[data-ai-id="el_60"]'  text='1 hour ago'
15:24:50  DEBUG       [el_61] <a> selector='[data-ai-id="el_61"]'  text='hide'
15:24:50  DEBUG       [el_62] <a> selector='[data-ai-id="el_62"]'  text='35\xa0comments'
15:24:50  DEBUG       [el_63] <a> selector='[data-ai-id="el_63"]'  text=''
15:24:50  DEBUG       [el_64] <a> selector='[data-ai-id="el_64"]'  text='asimov.press'
15:24:50  DEBUG       [el_65] <a> selector='[data-ai-id="el_65"]'  text='mailyk'
15:24:50  DEBUG       [el_66] <a> selector='[data-ai-id="el_66"]'  text='4 hours ago'
15:24:50  DEBUG       [el_67] <a> selector='[data-ai-id="el_67"]'  text='hide'
15:24:50  DEBUG       [el_68] <a> selector='[data-ai-id="el_68"]'  text='29\xa0comments'
15:24:50  DEBUG       [el_69] <a> selector='[data-ai-id="el_69"]'  text=''
15:24:50  DEBUG       [el_70] <a> selector='[data-ai-id="el_70"]'  text='boxyuwu.blog'
15:24:50  DEBUG       [el_71] <a> selector='[data-ai-id="el_71"]'  text='emschwartz'
15:24:50  DEBUG       [el_72] <a> selector='[data-ai-id="el_72"]'  text='7 hours ago'
15:24:50  DEBUG       [el_73] <a> selector='[data-ai-id="el_73"]'  text='hide'
15:24:50  DEBUG       [el_74] <a> selector='[data-ai-id="el_74"]'  text='13\xa0comments'
15:24:50  DEBUG       [el_75] <a> selector='[data-ai-id="el_75"]'  text=''
15:24:50  DEBUG       [el_76] <a> selector='[data-ai-id="el_76"]'  text='bbc.com'
15:24:50  DEBUG       [el_77] <a> selector='[data-ai-id="el_77"]'  text='mememememememo'
15:24:50  DEBUG       [el_78] <a> selector='[data-ai-id="el_78"]'  text='14 hours ago'
15:24:50  DEBUG       [el_79] <a> selector='[data-ai-id="el_79"]'  text='hide'
15:24:50  DEBUG       [el_80] <a> selector='[data-ai-id="el_80"]'  text='450\xa0comments'
15:24:50  DEBUG       [el_81] <a> selector='[data-ai-id="el_81"]'  text=''
15:24:50  DEBUG       [el_82] <a> selector='[data-ai-id="el_82"]'  text='bunniestudios.com'
15:24:50  DEBUG       [el_83] <a> selector='[data-ai-id="el_83"]'  text='zdw'
15:24:50  DEBUG       [el_84] <a> selector='[data-ai-id="el_84"]'  text='6 hours ago'
15:24:50  DEBUG       [el_85] <a> selector='[data-ai-id="el_85"]'  text='hide'
15:24:50  DEBUG       [el_86] <a> selector='[data-ai-id="el_86"]'  text='25\xa0comments'
15:24:50  DEBUG       [el_87] <a> selector='[data-ai-id="el_87"]'  text=''
15:24:50  DEBUG       [el_88] <a> selector='[data-ai-id="el_88"]'  text='lemonde.fr'
